pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=128,sr<=5%,kvB<=4k,kp=0,0.114,8
16,n<=128,sr<=5%,kvB<=64k,kp<=16k,-0.0257,4
16,n<=128,sr<=5%,kvB<=64k,kp<=2k,0.0842,8
16,n<=128,sr<=5%,kvB<=64k,kp<=32k,-0.0075,8
16,n<=128,sr<=5%,kvB<=64k,kp<=512,0.0985,8
16,n<=128,sr<=5%,kvB<=64k,kp<=8k,0.0278,8
16,n<=128,sr<=5%,kvB<=64k,kp=0,0.1061,8
16,n<=128,sr<=70%,kvB<=16k,kp<=16k,0.0935,2
16,n<=128,sr<=70%,kvB<=16k,kp<=2k,-0.0068,2
16,n<=128,sr<=70%,kvB<=16k,kp<=32k,0.0668,2
16,n<=128,sr<=70%,kvB<=16k,kp<=512,-0.0042,2
16,n<=128,sr<=70%,kvB<=16k,kp<=8k,-0.1978,2
16,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0037,2
16,n<=128,sr<=70%,kvB<=1k,kp<=16k,-0.3535,2
16,n<=128,sr<=70%,kvB<=1k,kp<=2k,-0.165,2
16,n<=128,sr<=70%,kvB<=1k,kp<=32k,-0.1664,2
16,n<=128,sr<=70%,kvB<=1k,kp<=512,-0.2639,2
16,n<=128,sr<=70%,kvB<=1k,kp<=8k,-0.3992,2
16,n<=128,sr<=70%,kvB<=1k,kp=0,-0.0507,2
16,n<=128,sr<=70%,kvB<=4k,kp<=16k,-0.3725,2
16,n<=128,sr<=70%,kvB<=4k,kp<=2k,-0.2332,2
16,n<=128,sr<=70%,kvB<=4k,kp<=32k,0.2862,2
16,n<=128,sr<=70%,kvB<=4k,kp<=512,-0.0181,2
16,n<=128,sr<=70%,kvB<=4k,kp<=8k,0.03,2
16,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0052,2
16,n<=128,sr<=70%,kvB<=64k,kp<=16k,-0.349,1
16,n<=128,sr<=70%,kvB<=64k,kp<=2k,-0.006,2
