prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,128,16,512,45.9683
16,128,16,1024,45.525
16,128,16,2048,50.021
16,128,16,4096,59.2693
16,128,16,8192,85.7967
16,128,16,16384,119.878
16,128,16,32768,184.961
16,128,16,65536,317.35
16,128,32,16,31.5678
16,128,32,32,31.739
16,128,32,64,31.9465
16,128,32,128,32.1865
16,128,32,256,48.2507
16,128,32,512,49.1682
16,128,32,1024,63.7607
16,128,32,2048,71.7177
16,128,32,4096,89.7758
16,128,32,8192,124.683
16,128,32,16384,188.102
16,128,32,32768,322.257
16,128,32,65536,586.444
16,128,64,16,32.7953
16,128,64,32,32.2563
16,128,64,64,32.144
16,128,64,128,33.542
16,128,64,256,64.4373
16,128,64,512,67.7177
16,128,64,1024,78.224
16,128,64,2048,98.4112
16,128,64,4096,130.864
16,128,64,8192,198.896
16,128,64,16384,328.39
16,128,64,32768,596.774
16,128,64,65536,1130.59
16,128,128,16,38.8433
16,128,128,32,39.5357
16,128,128,64,43.1465
16,128,128,128,47.3917
16,128,128,256,66.5283
16,128,128,512,77.44
16,128,128,1024,95.5843
16,128,128,2048,129.664
16,128,128,4096,195.152
16,128,128,8192,328.257
16,128,128,16384,590.278
16,128,128,32768,1127.47
16,128,128,65536,2200.92
16,256,0,0,39.9843
16,256,1,16,38.9978
16,256,1,32,40.0427
16,256,1,64,40.0267
16,256,1,128,40.2607
16,256,1,256,39.92
16,256,1,512,39.6213
16,256,1,1024,40.4165
16,256,1,2048,43.5468
16,256,1,4096,49.9467
16,256,1,8192,63.0188
16,256,1,16384,88.282
16,256,1,32768,139.136
16,256,1,65536,242.181
16,256,2,16,40.0265
16,256,2,32,39.6108
16,256,2,64,40.1495
16,256,2,128,40.2665
16,256,2,256,40.8638
16,256,2,512,39.5998
16,256,2,1024,40.5438
16,256,2,2048,43.4345
16,256,2,4096,49.8562
16,256,2,8192,62.8377
16,256,2,16384,87.0128
16,256,2,32768,138.849
16,256,2,65536,242.117
16,256,4,16,40.2455
16,256,4,32,39.9042
16,256,4,64,40.752
16,256,4,128,40.976
16,256,4,256,41.3333
16,256,4,512,40.8213
16,256,4,1024,41.7493
16,256,4,2048,45.4243
16,256,4,4096,52.1388
16,256,4,8192,63.5093
16,256,4,16384,89.8885
16,256,4,32768,141.398
16,256,4,65536,245.51
16,256,8,16,40.8268
16,256,8,32,40.7303
16,256,8,64,42.4427
16,256,8,128,42.9168
16,256,8,256,44.3095
16,256,8,512,41.7923
16,256,8,1024,43.0453
16,256,8,2048,45.803
16,256,8,4096,51.7763
16,256,8,8192,65.5205
16,256,8,16384,92.2187
16,256,8,32768,146.576
16,256,8,65536,252.192
16,256,16,16,41.931
16,256,16,32,41.9465
16,256,16,64,44.8958
16,256,16,128,42.2077
16,256,16,256,43.3602
16,256,16,512,46.4108
16,256,16,1024,48.9602
16,256,16,2048,49.2688
16,256,16,4096,58.3943
16,256,16,8192,89.5417
16,256,16,16384,123.723
16,256,16,32768,188.641
16,256,16,65536,318.79
16,256,32,16,43.0672
16,256,32,32,44.1978
16,256,32,64,43.232
16,256,32,128,47.0398
16,256,32,256,57.8345
16,256,32,512,52.3468
16,256,32,1024,52.2347
16,256,32,2048,74.3733
16,256,32,4096,93.4985
16,256,32,8192,127.451
16,256,32,16384,193.493
16,256,32,32768,323.947
16,256,32,65536,586.155
16,256,64,16,46.0263
16,256,64,32,46.1658
16,256,64,64,47.1737
16,256,64,128,47.4558
16,256,64,256,67.5197
16,256,64,512,72.4478
16,256,64,1024,80.7628
16,256,64,2048,100.747
16,256,64,4096,135.365
16,256,64,8192,200.48
16,256,64,16384,332.15
16,256,64,32768,598.156
16,256,64,65536,1137.06
16,256,128,16,55.9732
16,256,128,32,56.3577
16,256,128,64,59.4133
16,256,128,128,62.997
16,256,128,256,68.7308
16,256,128,512,80.4215
16,256,128,1024,99.9625
16,256,128,2048,133.462
16,256,128,4096,199.131
16,256,128,8192,330.182
16,256,128,16384,589.878
16,256,128,32768,1125.94
16,256,128,65536,2199.74
16,512,0,0,40.3575
16,512,1,16,40.9918
16,512,1,32,40.6503
16,512,1,64,41.429
16,512,1,128,41.4505
16,512,1,256,40.9545
16,512,1,512,40.9388
16,512,1,1024,40.8697
16,512,1,2048,43.8828
16,512,1,4096,50.2448
16,512,1,8192,63.0187
16,512,1,16384,88.5282
16,512,1,32768,140.235
16,512,1,65536,242.56
16,512,2,16,40.6722
16,512,2,32,40.955
16,512,2,64,40.741
16,512,2,128,40.8162
16,512,2,256,41.1568
16,512,2,512,41.3437
16,512,2,1024,41.0932
16,512,2,2048,43.8665
16,512,2,4096,50.4002
16,512,2,8192,62.8857
16,512,2,16384,89.03
16,512,2,32768,139.152
16,512,2,65536,243.537
16,512,4,16,40.9545
16,512,4,32,41.2647
16,512,4,64,41.664
16,512,4,128,41.723
16,512,4,256,41.9148
16,512,4,512,42.1607
16,512,4,1024,42.4317
16,512,4,2048,45.3062
16,512,4,4096,51.8672
16,512,4,8192,64.922
16,512,4,16384,89.7175
16,512,4,32768,142.038
16,512,4,65536,245.925
16,512,8,16,41.8183
16,512,8,32,42.1337
16,512,8,64,41.728
16,512,8,128,43.3125
16,512,8,256,43.2692
16,512,8,512,43.8137
16,512,8,1024,44.32
16,512,8,2048,46.1067
16,512,8,4096,52.549
16,512,8,8192,65.2647
16,512,8,16384,92.0372
16,512,8,32768,145.621
16,512,8,65536,251.462
16,512,16,16,42.9973
16,512,16,32,43.0457
16,512,16,64,43.3713
16,512,16,128,45.136
16,512,16,256,46.5013
16,512,16,512,47.5522
16,512,16,1024,48.2295
16,512,16,2048,52.0427
16,512,16,4096,58.3943
16,512,16,8192,76.539
16,512,16,16384,130.091
16,512,16,32768,193.632
16,512,16,65536,325.084
16,512,32,16,44.4647
16,512,32,32,44.8263
16,512,32,64,45.1358
16,512,32,128,56.704
16,512,32,256,50.3518
16,512,32,512,63.4718
16,512,32,1024,54.8377
16,512,32,2048,79.1092
16,512,32,4096,98.9177
16,512,32,8192,132.874
16,512,32,16384,197.254
16,512,32,32768,329.355
16,512,32,65536,590.753
16,512,64,16,48.9013
16,512,64,32,50.1713
16,512,64,64,47.8027
16,512,64,128,49.2327
16,512,64,256,68.827
16,512,64,512,74.8215
16,512,64,1024,86.8535
16,512,64,2048,105.872
16,512,64,4096,141.345
16,512,64,8192,206.08
16,512,64,16384,338.528
16,512,64,32768,604.166
16,512,64,65536,1136.93
16,512,128,16,55.1627
16,512,128,32,55.8885
16,512,128,64,59.1252
16,512,128,128,61.9735
16,512,128,256,71.2375
16,512,128,512,84.134
16,512,128,1024,105.515
16,512,128,2048,139.525
16,512,128,4096,204.581
16,512,128,8192,333.643
16,512,128,16384,594.561
16,512,128,32768,1122.9
16,512,128,65536,2196.92
16,1024,0,0,43.8348
16,1024,1,16,44.0372
16,1024,1,32,43.7602
16,1024,1,64,43.04
16,1024,1,128,43.8343
16,1024,1,256,43.6218
16,1024,1,512,43.8128
16,1024,1,1024,43.8503
16,1024,1,2048,44.2507
16,1024,1,4096,50.6503
16,1024,1,8192,63.1732
16,1024,1,16384,88.8215
16,1024,1,32768,141.067
16,1024,1,65536,243.675
16,1024,2,16,43.5312
16,1024,2,32,43.643
16,1024,2,64,43.8512
16,1024,2,128,43.7063
16,1024,2,256,43.7703
16,1024,2,512,44.0218
16,1024,2,1024,44.8378
16,1024,2,2048,44.3738
16,1024,2,4096,50.4798
16,1024,2,8192,63.179
16,1024,2,16384,89.418
16,1024,2,32768,140.635
16,1024,2,65536,242.47
16,1024,4,16,44.2775
16,1024,4,32,44.384
16,1024,4,64,44.2827
16,1024,4,128,44.5332
16,1024,4,256,44.8427
16,1024,4,512,45.301
16,1024,4,1024,45.6857
16,1024,4,2048,45.6957
16,1024,4,4096,52.6345
16,1024,4,8192,64.7678
16,1024,4,16384,90.657
16,1024,4,32768,141.75
16,1024,4,65536,245.269
16,1024,8,16,44.6825
16,1024,8,32,44.5863
16,1024,8,64,44.7735
16,1024,8,128,44.645
16,1024,8,256,45.5847
16,1024,8,512,47.4452
16,1024,8,1024,46.9117
16,1024,8,2048,49.2852
16,1024,8,4096,54.0587
16,1024,8,8192,66.5013
16,1024,8,16384,92.0268
16,1024,8,32768,145.664
16,1024,8,65536,251.008
16,1024,16,16,45.8455
16,1024,16,32,45.8082
16,1024,16,64,45.8028
16,1024,16,128,46.6615
16,1024,16,256,48.3625
16,1024,16,512,48.0857
16,1024,16,1024,50.0853
16,1024,16,2048,52.5175
16,1024,16,4096,61.3765
